Timestamp,court_number_id,item_number
2024-01-09 14:00:10,1,68(D)
2024-01-09 14:00:10,3,25(D)
2024-01-09 14:00:10,4,36(D)
2024-01-09 14:00:10,16,135(D)
2024-01-09 14:00:10,11,92(D)
2024-01-09 14:00:10,12,268(D)
2024-01-09 14:00:10,13,56-57(D)
2024-01-09 14:00:10,14,55(D)
2024-01-09 14:00:10,6,62(D)
2024-01-09 14:00:10,7,39(D)
2024-01-09 14:00:10,8,138(D)
2024-01-09 14:00:10,9,105(D)
2024-01-09 14:00:10,10,65(D)
2024-01-09 14:00:10,15,41(D)
2024-01-09 14:00:22,1,68(D)
2024-01-09 14:00:22,3,25(D)
2024-01-09 14:00:22,4,36(D)
2024-01-09 14:00:22,16,135(D)
2024-01-09 14:00:22,11,92(D)
2024-01-09 14:00:22,12,268(D)
2024-01-09 14:00:22,13,56-57(D)
2024-01-09 14:00:22,14,55(D)
2024-01-09 14:00:22,6,62(D)
2024-01-09 14:00:22,7,39(D)
2024-01-09 14:00:22,8,138(D)
2024-01-09 14:00:22,9,105(D)
2024-01-09 14:00:22,10,65(D)
2024-01-09 14:00:22,15,41(D)
2024-01-09 14:00:33,1,68(D)
2024-01-09 14:00:33,3,25(D)
2024-01-09 14:00:33,4,36(D)
2024-01-09 14:00:33,16,135(D)
2024-01-09 14:00:33,11,92(D)
2024-01-09 14:00:33,12,268(D)
2024-01-09 14:00:33,13,56-57(D)
2024-01-09 14:00:33,14,55(D)
2024-01-09 14:00:33,6,62(D)
2024-01-09 14:00:33,7,39(D)
2024-01-09 14:00:33,8,138(D)
2024-01-09 14:00:33,9,105(D)
2024-01-09 14:00:33,10,65(D)
2024-01-09 14:00:33,15,41(D)
2024-01-09 14:00:45,1,68(D)
2024-01-09 14:00:45,3,25(D)
2024-01-09 14:00:45,4,36(D)
2024-01-09 14:00:45,16,135(D)
2024-01-09 14:00:45,11,92(D)
2024-01-09 14:00:45,12,268(D)
2024-01-09 14:00:45,13,56-57(D)
2024-01-09 14:00:45,14,55(D)
2024-01-09 14:00:45,6,62(D)
2024-01-09 14:00:45,7,39(D)
2024-01-09 14:00:45,8,138(D)
2024-01-09 14:00:45,9,105(D)
2024-01-09 14:00:45,10,65(D)
2024-01-09 14:00:45,15,41(D)
2024-01-09 14:00:56,1,68(D)
2024-01-09 14:00:56,3,25(D)
2024-01-09 14:00:56,4,36(D)
2024-01-09 14:00:56,16,135(D)
2024-01-09 14:00:56,11,92(D)
2024-01-09 14:00:56,12,268(D)
2024-01-09 14:00:56,13,56-57(D)
2024-01-09 14:00:56,14,55(D)
2024-01-09 14:00:56,6,62(D)
2024-01-09 14:00:56,7,39(D)
2024-01-09 14:00:56,8,138(D)
2024-01-09 14:00:56,9,105(D)
2024-01-09 14:00:56,10,65(D)
2024-01-09 14:00:56,15,41(D)
2024-01-09 14:01:07,1,68(D)
2024-01-09 14:01:07,3,25(D)
2024-01-09 14:01:07,4,36(D)
2024-01-09 14:01:07,16,135(D)
2024-01-09 14:01:07,11,92(D)
2024-01-09 14:01:07,12,268(D)
2024-01-09 14:01:07,13,56-57(D)
2024-01-09 14:01:07,14,55(D)
2024-01-09 14:01:07,6,62(D)
2024-01-09 14:01:07,7,39(D)
2024-01-09 14:01:07,8,138(D)
2024-01-09 14:01:07,9,105(D)
2024-01-09 14:01:07,10,65(D)
2024-01-09 14:01:07,15,41(D)
2024-01-09 14:01:19,1,68(D)
2024-01-09 14:01:19,3,25(D)
2024-01-09 14:01:19,4,36(D)
2024-01-09 14:01:19,16,135(D)
2024-01-09 14:01:19,11,92(D)
2024-01-09 14:01:19,12,268(D)
2024-01-09 14:01:19,13,56-57(D)
2024-01-09 14:01:19,14,55(D)
2024-01-09 14:01:19,6,62(D)
2024-01-09 14:01:19,7,39(D)
2024-01-09 14:01:19,8,138(D)
2024-01-09 14:01:19,9,105(D)
2024-01-09 14:01:19,10,65(D)
2024-01-09 14:01:19,15,41(D)
2024-01-09 14:01:30,1,68(D)
2024-01-09 14:01:30,3,25(D)
2024-01-09 14:01:30,4,36(D)
2024-01-09 14:01:30,16,135(D)
2024-01-09 14:01:30,11,92(D)
2024-01-09 14:01:30,12,268(D)
2024-01-09 14:01:30,13,56-57(D)
2024-01-09 14:01:30,14,55(D)
2024-01-09 14:01:30,6,62(D)
2024-01-09 14:01:30,7,39(D)
2024-01-09 14:01:30,8,138(D)
2024-01-09 14:01:30,9,105(D)
2024-01-09 14:01:30,10,65(D)
2024-01-09 14:01:30,15,41(D)
2024-01-09 14:01:41,1,68(D)
2024-01-09 14:01:41,3,25(D)
2024-01-09 14:01:41,4,36(D)
2024-01-09 14:01:41,16,135(D)
2024-01-09 14:01:41,11,92(D)
2024-01-09 14:01:41,12,268(D)
2024-01-09 14:01:41,13,56-57(D)
2024-01-09 14:01:41,14,55(D)
2024-01-09 14:01:41,6,62(D)
2024-01-09 14:01:41,7,39(D)
2024-01-09 14:01:41,8,138(D)
2024-01-09 14:01:41,9,105(D)
2024-01-09 14:01:41,10,65(D)
2024-01-09 14:01:41,15,41(D)
2024-01-09 14:01:53,1,68(D)
2024-01-09 14:01:53,3,25(D)
2024-01-09 14:01:53,4,36(D)
2024-01-09 14:01:53,16,135(D)
2024-01-09 14:01:53,11,92(D)
2024-01-09 14:01:53,12,268(D)
2024-01-09 14:01:53,13,56-57(D)
2024-01-09 14:01:53,14,55(D)
2024-01-09 14:01:53,6,62(D)
2024-01-09 14:01:53,7,39(D)
2024-01-09 14:01:53,8,138(D)
2024-01-09 14:01:53,9,105(D)
2024-01-09 14:01:53,10,65(D)
2024-01-09 14:01:53,15,41(D)
2024-01-09 14:02:04,1,68(D)
2024-01-09 14:02:04,3,25(D)
2024-01-09 14:02:04,4,36(D)
2024-01-09 14:02:04,16,135(D)
2024-01-09 14:02:04,11,92(D)
2024-01-09 14:02:04,12,268(D)
2024-01-09 14:02:04,13,56-57(D)
2024-01-09 14:02:04,14,55(D)
2024-01-09 14:02:04,6,62(D)
2024-01-09 14:02:04,7,39(D)
2024-01-09 14:02:04,8,138(D)
2024-01-09 14:02:04,9,105(D)
2024-01-09 14:02:04,10,65(D)
2024-01-09 14:02:04,15,41(D)
2024-01-09 14:02:15,1,68(D)
2024-01-09 14:02:15,3,25(D)
2024-01-09 14:02:15,4,36(D)
2024-01-09 14:02:15,16,135(D)
2024-01-09 14:02:15,11,92(D)
2024-01-09 14:02:15,12,268(D)
2024-01-09 14:02:15,13,56-57(D)
2024-01-09 14:02:15,14,55(D)
2024-01-09 14:02:15,6,62(D)
2024-01-09 14:02:15,7,39(D)
2024-01-09 14:02:15,8,138(D)
2024-01-09 14:02:15,9,105(D)
2024-01-09 14:02:15,10,65(D)
2024-01-09 14:02:15,15,41(D)
2024-01-09 14:02:27,1,68(D)
2024-01-09 14:02:27,3,25(D)
2024-01-09 14:02:27,4,36(D)
2024-01-09 14:02:27,16,135(D)
2024-01-09 14:02:27,11,92(D)
2024-01-09 14:02:27,12,268(D)
2024-01-09 14:02:27,13,56-57(D)
2024-01-09 14:02:27,14,55(D)
2024-01-09 14:02:27,6,62(D)
2024-01-09 14:02:27,7,39(D)
2024-01-09 14:02:27,8,138(D)
2024-01-09 14:02:27,9,105(D)
2024-01-09 14:02:27,10,65(D)
2024-01-09 14:02:27,15,41(D)
2024-01-09 14:02:39,1,68(D)
2024-01-09 14:02:39,3,25(D)
2024-01-09 14:02:39,4,36(D)
2024-01-09 14:02:39,16,135(D)
2024-01-09 14:02:39,11,92(D)
2024-01-09 14:02:39,12,268(D)
2024-01-09 14:02:39,13,56-57(D)
2024-01-09 14:02:39,14,55(D)
2024-01-09 14:02:39,6,62(D)
2024-01-09 14:02:39,7,39(D)
2024-01-09 14:02:39,8,138(D)
2024-01-09 14:02:39,9,105(D)
2024-01-09 14:02:39,10,65(D)
2024-01-09 14:02:39,15,41(D)
2024-01-09 14:02:50,1,68(D)
2024-01-09 14:02:50,3,25(D)
2024-01-09 14:02:50,4,36(D)
2024-01-09 14:02:50,16,135(D)
2024-01-09 14:02:50,11,92(D)
2024-01-09 14:02:50,12,268(D)
2024-01-09 14:02:50,13,56-57(D)
2024-01-09 14:02:50,14,55(D)
2024-01-09 14:02:50,6,62(D)
2024-01-09 14:02:50,7,39(D)
2024-01-09 14:02:50,8,138(D)
2024-01-09 14:02:50,9,105(D)
2024-01-09 14:02:50,10,65(D)
2024-01-09 14:02:50,15,41(D)
